rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
84,"spotify:track:6leQi7NakJQS1vHRtZsroe","Pashanim","Mittelmeer","Urban",1,81,90,"632619"
85,"spotify:track:7J1uxwnxfQLu4APicE5Rnj","Michael Jackson","Billie Jean","Epic",64,98,35,"632618"
86,"spotify:track:0ntQJM78wzOLVeCUAW7Y45","Kings of Leon","Sex on Fire","RCA/Legacy",63,97,64,"632613"
87,"spotify:track:1Jo0Zg7XlrA6z0mFTZVdkn","Rihanna","Don't Stop The Music","Def Jam Recordings",66,88,31,"631681"
88,"spotify:track:2374M0fQpWi3dLnB54qaLX","TOTO","Africa","Columbia",35,85,103,"629753"
89,"spotify:track:2a1o6ZejUi8U3wzzOtCOYw","Don Omar, Lucenzo","Danza Kuduro","UMLE - Machete",42,84,161,"625879"
90,"spotify:track:7so0lgd0zP2Sbgs2d7a1SZ","Lady Gaga, Bruno Mars","Die With A Smile","Interscope Records",3,75,78,"623463"
91,"spotify:track:2ENexcMEMsYk0rVJigVD3i","Rihanna","Only Girl (In The World)","Def Jam Recordings",81,92,41,"619584"
92,"spotify:track:7JM1dFLOa1kI5MqGnDufiY","Münchener Freiheit","Ohne Dich (schlaf' ich heut Nacht nicht ein)","Columbia",60,111,44,"617142"
93,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",10,99,259,"616911"
94,"spotify:track:4bJygwUKrRgq1stlNXcgMg","t.A.T.u.","All The Things She Said","Interscope",58,86,17,"608844"
95,"spotify:track:6xxqvqzRighH5hQ5QwzFtq","Höhner","Prinzessin","Stars by Edel",51,176,7,"607409"
96,"spotify:track:12bYYQaLqHliSXvRIYlq8G","Bruno Mars","I Just Might","Atlantic Records",17,74,6,"606032"
97,"spotify:track:4fUK2q5ERoi97E3g2kwB8c","Tkandz, CXSPER","NOW OR NEVER","Timing Is Everything Ent",3,76,22,"604459"
98,"spotify:track:2bLqfJjuC5syrsgDsZfGmn","Timbaland, Keri Hilson, D.O.E.","The Way I Are","Interscope/Blackground Records",43,70,151,"603844"
99,"spotify:track:6YqYOnjh0vkMp5cfzKHmbM","Kasalla","Alle Jläser huh","Pavement",99,182,4,"599581"
100,"spotify:track:6dOtVTDdiauQNBQEDOtlAB","Billie Eilish","BIRDS OF A FEATHER","Darkroom/Interscope Records",7,73,91,"597106"
101,"spotify:track:3dWUicD478ooh65glDd3OJ","Jazeek","OYE!","NINETYNINE MUSIC x Good Kid Records x Ventura Records",17,17,2,"596886"
102,"spotify:track:4QNpBfC0zvjKqPJcyqBy9W","Pitbull, AFROJACK, Ne-Yo, Nayer","Give Me Everything (feat. Nayer)","Mr.305/Polo Grounds Music/J Records",56,122,87,"596682"
103,"spotify:track:72YttnPRxyHe8zCG50jYhj","ZXKAI, slxughter","NO BATIDÃO - Slowed","ZXKAI",89,116,13,"595076"
104,"spotify:track:2yWlGEgEfPot0lv3OAjuG3","Tate McRae, F1 The Album","Just Keep Watching (From F1® The Movie)","Atlantic Records",17,82,36,"591965"
105,"spotify:track:605G7F1FEjm60IdXmLhlNN","Provinz","Walzer","Warner Music Central Europe",23,87,51,"591471"
106,"spotify:track:2nLtzopw4rPReszdYBJU6h","Linkin Park","Numb","Warner Records",13,91,173,"589112"
107,"spotify:track:1zi7xx7UVEFkmKfv06H8x0","Drake, Wizkid, Kyla","One Dance","Cash Money Records/Young Money Ent./Universal Rec.",22,102,65,"588804"
108,"spotify:track:5Ko5poFICugpaQWWZBGv13","Bibi und Tina","Bibi und Tina Lied","Kiddinx Studios/WM Germany",72,127,68,"580107"
109,"spotify:track:4lArhqEySHQwMKkWkPXQEK","HBz, 2 Engel & Charlie","Erinner mich","JINX Music",24,187,52,"579585"
110,"spotify:track:2kGMz4gdfrAmZ1H6jR2li8","Chrissyjeey, Lea Marie","Erkläre mir die Liebe","JINX Music",24,48,4,"578854"
111,"spotify:track:4PCNkLfMpaPYEwBMsknI8R","Amo, Aymen","Love all night","Epic/385i",1,80,33,"578793"
112,"spotify:track:3xkHsmpQCBMytMJNiDf3Ii","Benson Boone","Beautiful Things","Night Street Records, Inc./Warner Records Inc.",1,123,108,"578124"
113,"spotify:track:3ilgxZl5g7MOQCUiky3VOG","Pashanim","Ms. Jackson","Urban",1,101,129,"573387"
114,"spotify:track:1WwQ714xuznu44tEnkem2g","HAVEN., Kaitlin Aragon","I Run","Isekai / Broke / AAO",19,71,13,"572578"
115,"spotify:track:36w8f4Cl7JqTbFDamAdq8Q","AYLIVA","Wie?","Whiteheart Records/Warner Music Central Europe",1,89,51,"568810"
116,"spotify:track:2nWw7VrUn8Ijo45K6WIIna","MilleniumKid, JBS, HOLY PRIEST, elMefti","Vielleicht Vielleicht - Holy Priest & elMefti Remix","Warner Music Central Europe",36,95,44,"568304"
117,"spotify:track:6VNXmo59yDYgcwLS17UNAW","Bad Bunny, Los Pleneros de la Cresta","CAFé CON RON","Rimas Entertainment LLC.",103,103,2,"566929"
118,"spotify:track:2U8NXPTXZWG2O0ye2sYRiH","Icona Pop, Charli xcx","I Love It (feat. Charli XCX)","Big Beat Records/Atlantic",118,-1,2,"566740"
119,"spotify:track:3U5JVgI2x4rDyHGObzJfNf","Natasha Bedingfield","Unwritten","Sony Music CG",2,121,110,"565525"
120,"spotify:track:57Z6TJCTMACXxdrcwZ3Zvf","EsDeeKid, Rico Ace","Phantom","Lizzy Records",38,96,18,"564644"
121,"spotify:track:0COqiPhxzoWICwFCS4eZcp","Evanescence","Bring Me To Life","The Bicycle Music Company",100,114,15,"563807"
122,"spotify:track:3fjmSxt0PskST13CSdBUFx","Linkin Park","Somewhere I Belong","Warner Records",92,109,21,"563207"
123,"spotify:track:7B3BwNecBhKvNwSMOOl7Gk","Addison Rae","Fame is a Gun","Columbia",106,106,10,"562415"
124,"spotify:track:2uCpNAXeQ9mmkXQvJQt6JQ","AssiH, Weyhv351","ICH VERACHTE","hatefuckmusic",74,93,16,"559558"
125,"spotify:track:4Yf5bqU3NK4kNOypcrLYwU","Linkin Park","Faint","Warner Records",45,110,44,"557087"
126,"spotify:track:5e5C8eGXasN7JZApzBfopQ","Kasalla","Pirate","Pavement",64,197,8,"554728"
127,"spotify:track:09CnYHiZ5jGT1wr1TXJ9Zt","Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike","Thank You (Not So Bad)","Ministry of Sound Recordings",13,124,111,"552203"
128,"spotify:track:0gucTLf7trAf37Ua1uAyAu","Nirvana","Smells Like Teen Spirit","Geffen",95,112,67,"550819"
129,"spotify:track:5RKQ5NdjSh2QzD4MaunT91","Journey","Don't Stop Believin' (2022 Remaster)","Columbia/Legacy",19,120,157,"549766"
130,"spotify:track:4odiyU3myG29Ld0wurMfE8","Sean Paul","She Doesn't Mind","VP Records",115,115,30,"549554"
131,"spotify:track:2gYTC8DsplN3RNdpdBcCOQ","SIENNA SPIRO","Die On This Hill","Capitol Records",70,113,6,"548055"
132,"spotify:track:39Un0tg79MUAr52bLTZEhk","Sosa La M","Back outside","GOLD LEAGUE",3,77,16,"542517"
133,"spotify:track:0fea68AdmYNygeTGI4RC18","J Balvin, Bad Bunny","LA CANCIÓN","Universal Music Latino / Rimas",51,51,2,"542409"
134,"spotify:track:4lXsvpjLhG7YqEehJFqpKV","QMIIR","TIKI TIKI - Slowed","volume100",134,164,2,"541981"
135,"spotify:track:2mdEsXPu8ZmkHRRtAdC09e","Lana Del Rey","Cinnamon Girl","Polydor Records",112,125,5,"541575"
136,"spotify:track:4Z5KKoBGxpJo8YbDcGQXd5","Don Toliver, Rema","Secondhand (feat. Rema)","CactusJack/Donnway/ATL",49,63,3,"541058"
137,"spotify:track:5rb9QrpfcKFHM1EUbSIurX","USHER, Lil Jon, Ludacris","Yeah! (feat. Lil Jon & Ludacris)","LaFace Records",43,152,75,"538846"
138,"spotify:track:1DIXPcTDzTj8ZMHt3PDt8p","Coolio, L.V.","Gangsta's Paradise","Tommy Boy Music, LLC",39,132,214,"538768"
139,"spotify:track:4hYinIaRxdaoEFSQni6K6I","Wir sind Helden","Nur ein Wort","Virgin",39,128,49,"537812"
140,"spotify:track:1mea3bSkSGXuIRvnydlB5b","Coldplay","Viva La Vida","Parlophone UK",57,155,127,"533521"
141,"spotify:track:3QaPy1KgI7nu9FJEQUgn6h","Billie Eilish","WILDFLOWER","Darkroom/Interscope Records",24,78,86,"531609"
142,"spotify:track:3d0WouFnFmr0K3kjeza3fF","Shakira, Wyclef Jean","Hips Don't Lie (feat. Wyclef Jean)","Epic",85,153,40,"531032"
143,"spotify:track:1dzQoRqT5ucxXVaAhTcT0J","Lady Gaga, Colby O'Donis","Just Dance","Streamline/Interscope",91,135,48,"528259"
144,"spotify:track:7oZok9vYx223mL1Rrw9a5x","@47_kö11sch","11 Jecke (Bei 3 ist hier Karneval)","Electrola",144,-1,1,"528047"
145,"spotify:track:7psH4sJy3YeNzTNnbQthjX","Schürze, Der Partycrasher","Schaukelpferd","Madizin Music",145,-1,1,"526428"
146,"spotify:track:0ypQOwWWnjYx9ZOIjZXNCP","Aymen, SIRA","30 mal am Tag","Epic/Moon Boys",1,117,28,"526313"
147,"spotify:track:1VeHlhZXNiyWdLsJ43drTV","Ché Salah, Amo, AVIE","Steigenberger Suite","Epic/Moon Boys",147,-1,1,"523429"
148,"spotify:track:2gam98EZKrF9XuOkU13ApN","Nelly Furtado, Timbaland","Promiscuous","Mosley / Geffen",104,134,37,"522949"
149,"spotify:track:32yMIt2LJ6ievOQGaFJtUl","Tobee","Bella Napoli - Xtreme Sound Party Mix","Xtreme Sound Recordings",149,-1,1,"522743"
150,"spotify:track:1PtQJZVZIdWIYdARpZRDFO","Kate Bush","Running Up That Hill (A Deal With God)","Fish People",3,119,43,"521543"
151,"spotify:track:4b3W0IbHDwHCvjSs708Tr4","AYLIVA, Apache 207","Wunder","Whiteheart Records/WM Germany",1,118,95,"521413"
152,"spotify:track:5p3SJ3CYqrmFbboAtfNo5n","David Guetta, Kid Cudi","Memories (feat. Kid Cudi)","Parlophone (France)",66,161,99,"520133"
153,"spotify:track:1QV6tiMFM6fSOKOGLMHYYg","Lady Gaga","Poker Face","Streamline/Interscope",80,133,49,"520132"
154,"spotify:track:0d28khcov6AiegSCpG5TuT","Gorillaz, De La Soul","Feel Good Inc.","Parlophone UK",98,151,26,"514015"
155,"spotify:track:4cfqkdJ1CdSnwmM4UdfPiY","Tream, treamiboii","KNUTSCHFLECK","Tream",55,189,5,"512966"
